Song Name,Artist Names,Artist Genre,Is Lofi?,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Nearly Home,ZENDR,[],False,0.703,0.37799999999999995,6,-14.418,1,0.0538,0.405,0.868,0.158,0.163,79.007,124235,4
Multidimensional,"Sarah, the Illstrumentalist",['lo-fi beats'],True,0.835,0.45299999999999996,5,-6.316,0,0.0543,0.18600000000000003,0.22899999999999998,0.139,0.601,92.999,150500,4
Joan of Arc.,Barnes Blvd.,"['chillhop', 'lo-fi beats']",True,0.429,0.272,7,-16.095,1,0.0314,0.745,0.87,0.10300000000000001,0.0531,90.785,178260,4
Samui Sunrise,Saib,"['chillhop', 'japanese chillhop', 'lo-fi beats']",True,0.773,0.667,1,-7.606,1,0.11900000000000001,0.318,0.7140000000000001,0.138,0.7,87.005,204138,4
Faces,Knowmadic,"['chillhop', 'lo-fi beats']",True,0.615,0.424,11,-12.324000000000002,0,0.114,0.968,0.809,0.106,0.17800000000000002,159.033,133165,4
Bucket List,Moods,"['chillhop', 'indie soul', 'new french touch', 'vapor twitch']",True,0.7020000000000001,0.18600000000000003,11,-13.187000000000001,1,0.0567,0.389,0.625,0.0972,0.1,90.03200000000001,133375,4
Akira,Nathan Kawanishi,['lo-fi beats'],True,0.8859999999999999,0.48100000000000004,5,-11.502,0,0.196,0.7290000000000001,0.889,0.129,0.6629999999999999,85.0,131866,4
Murmuration,Blue Wednesday,"['chillhop', 'lo-fi beats']",True,0.6859999999999999,0.373,11,-16.007,0,0.11800000000000001,0.532,0.9259999999999999,0.075,0.203,83.20299999999999,156000,4
Click,Dontcry,['lo-fi beats'],True,0.444,0.316,2,-9.804,1,0.0462,0.495,0.9159999999999999,0.132,0.365,87.06200000000001,151673,4
Back to Life,Sofasound,"['chillhop', 'future bass', 'lo-fi beats']",True,0.409,0.34,4,-13.126,1,0.0783,0.82,0.856,0.13,0.405,80.363,135319,1
Upstream,goosetaf,"['chillhop', 'lo-fi beats']",True,0.812,0.42700000000000005,8,-13.735999999999999,1,0.0657,0.872,0.747,0.10400000000000001,0.8240000000000001,90.98,130500,4
Nites,Yugi Boi,['future bass'],False,0.563,0.132,9,-16.671,0,0.0422,0.91,0.9359999999999999,0.0941,0.228,73.48899999999999,195892,4
Levitating,invention_,"['chillhop', 'lo-fi beats']",True,0.406,0.294,0,-14.574000000000002,1,0.0693,0.612,0.9179999999999999,0.429,0.386,65.553,179500,4
thinking of you,mommy,"['chillhop', 'lo-fi beats']",True,0.797,0.0832,11,-12.673,1,0.203,0.484,0.81,0.239,0.51,160.048,131000,4
black coffee,Elijah Who,['lo-fi beats'],True,0.738,0.46299999999999997,0,-12.171,0,0.177,0.8,0.725,0.102,0.442,78.089,73967,4
Medicinal Sushi,Chris Mazuera,['lo-fi beats'],True,0.649,0.165,0,-16.808,0,0.0355,0.764,0.914,0.11,0.36,80.05,144000,4
i brought her flowers.,frumhere,['lo-fi beats'],True,0.799,0.423,1,-12.282,0,0.0788,0.885,0.0335,0.0865,0.155,123.238,131751,3
By The Oak Tree,Featherz,[],False,0.6459999999999999,0.29,3,-13.705,1,0.0385,0.823,0.909,0.106,0.252,140.016,178286,4
First Sip of Coffee,Jobii,"['chill out', 'lo-fi beats']",True,0.6940000000000001,0.426,5,-8.516,0,0.0497,0.402,0.919,0.17800000000000002,0.366,136.011,147110,4
Unfolding,Hakaisu,[],False,0.7659999999999999,0.23800000000000002,0,-11.831,1,0.0445,0.488,0.935,0.124,0.39399999999999996,105.0,112014,4
Lightly,niquo,[],False,0.779,0.34,10,-11.594000000000001,1,0.0721,0.636,0.135,0.26,0.228,82.00299999999999,169090,4
Café,sky pedro,[],False,0.8290000000000001,0.19699999999999998,6,-13.804,1,0.154,0.203,0.74,0.0994,0.32,91.00200000000001,113407,4
Waiting for You,mell-ø,['lo-fi beats'],True,0.74,0.133,8,-16.642,0,0.0633,0.828,0.9570000000000001,0.131,0.113,73.982,94865,4
Drag Me Down - Instrumental,Kartoffel Club,[],False,0.679,0.41200000000000003,2,-11.550999999999998,1,0.043,0.506,0.83,0.111,0.0859,142.034,174111,3
5am in cairo,"oh, the joy.",[],False,0.758,0.191,3,-15.904000000000002,1,0.0439,0.937,0.937,0.11,0.201,113.97200000000001,177288,4
sekao,Delayde,"['chillhop', 'lo-fi beats']",True,0.616,0.375,5,-16.921,1,0.0405,0.905,0.8959999999999999,0.332,0.33299999999999996,159.972,132000,4
Anybody Else,Moseqar,['arab alternative'],False,0.507,0.42200000000000004,10,-10.96,0,0.0307,0.752,0.588,0.20600000000000002,0.373,96.882,210462,4
Loungerie,Jorge Milliano,[],False,0.625,0.377,7,-11.321,1,0.0343,0.782,0.8420000000000001,0.0855,0.377,140.05,195481,4
Nepenthe,goosetaf,"['chillhop', 'lo-fi beats']",True,0.6859999999999999,0.446,2,-9.182,0,0.0592,0.879,0.7879999999999999,0.14,0.114,154.07,163636,4
Sunday Travels,Guustavv,"['chill out', 'lo-fi beats']",True,0.575,0.544,11,-8.98,0,0.0548,0.7709999999999999,0.932,0.11699999999999999,0.223,74.197,144100,4
Yesterday,chief.,"['chillhop', 'lo-fi beats']",True,0.633,0.185,0,-14.68,1,0.0626,0.945,0.868,0.127,0.155,77.223,154125,4
Home,Aso,"['chillhop', 'lo-fi beats']",True,0.563,0.223,3,-12.847000000000001,1,0.155,0.823,0.915,0.0674,0.282,210.46599999999998,182250,3
Search for Tomorrow,Kupla,['lo-fi beats'],True,0.44299999999999995,0.41,9,-10.890999999999998,0,0.0899,0.688,0.877,0.105,0.261,82.17,128120,4
Wavey,Dontcry,['lo-fi beats'],True,0.945,0.344,0,-13.056,0,0.162,0.54,0.879,0.10400000000000001,0.319,120.015,159018,4
Crooked Teeth,.anxious.,['lo-fi beats'],True,0.5489999999999999,0.242,3,-16.813,0,0.05,0.977,0.629,0.11,0.0466,84.999,181301,4
Sweet Night,KLIM,"['chillhop', 'jazz boom bap', 'lo-fi beats']",True,0.6629999999999999,0.36,6,-2.549,0,0.067,0.0207,0.905,0.141,0.608,86.132,139467,4
In Here.,yeyts.,"['chillhop', 'jazz boom bap', 'lo-fi beats']",True,0.7,0.449,6,-8.687999999999999,0,0.107,0.304,0.6679999999999999,0.0934,0.42,178.11599999999999,113258,4
Light Beams,Guustavv,"['chill out', 'lo-fi beats']",True,0.644,0.5479999999999999,3,-7.459,0,0.0621,0.0926,0.871,0.0708,0.179,129.954,152606,4
sunflower,owlh,[],False,0.675,0.609,10,-8.461,0,0.0377,0.457,0.6629999999999999,0.0922,0.235,163.031,167875,4
Dancing in the Moonlight,Snuggles,['lo-fi cover'],False,0.605,0.336,9,-13.519,1,0.0332,0.953,0.9359999999999999,0.10099999999999999,0.46799999999999997,180.102,94551,4
Better Days,Lusca061,[],False,0.848,0.386,3,-9.091000000000001,0,0.102,0.938,0.831,0.0764,0.634,100.008,223212,4
Lost in Flight,SwuM,"['chillhop', 'lo-fi beats']",True,0.685,0.295,4,-12.472000000000001,1,0.0284,0.909,0.917,0.179,0.0878,103.984,170769,4
Way Home,Ariel T,"['chill out', 'lo-fi beats']",True,0.7340000000000001,0.332,11,-16.253,0,0.102,0.737,0.902,0.0899,0.26,80.0,238350,4
Sundown,Arbour,"['chillhop', 'lo-fi beats']",True,0.655,0.534,10,-12.993,1,0.0372,0.568,0.8859999999999999,0.115,0.187,156.025,168741,4
Tiny Sailboat,Kupla,['lo-fi beats'],True,0.607,0.322,0,-10.949000000000002,1,0.134,0.397,0.878,0.643,0.381,174.08599999999998,150882,4
Skating through the City,Guustavv,"['chill out', 'lo-fi beats']",True,0.775,0.43200000000000005,3,-7.428,1,0.14,0.6890000000000001,0.9279999999999999,0.0933,0.213,81.994,122927,4
Lemon Wedge in the Sky,"Sarah, the Illstrumentalist",['lo-fi beats'],True,0.73,0.7809999999999999,7,-6.532,1,0.0875,0.128,0.948,0.0794,0.6940000000000001,92.037,131500,4
Forest Canopy,iamalex,"['chillhop', 'lo-fi beats']",True,0.381,0.61,7,-13.311,0,0.08199999999999999,0.882,0.251,0.28300000000000003,0.0384,140.20600000000002,144000,4
Iloveyou,A L E X,"['chillhop', 'lo-fi beats']",True,0.8079999999999999,0.281,9,-14.946,1,0.0512,0.6579999999999999,0.9420000000000001,0.0854,0.0545,120.98899999999999,165669,4
Belém,DAO,"['chillhop', 'lo-fi beats']",True,0.77,0.67,11,-10.602,0,0.0762,0.139,0.867,0.10099999999999999,0.304,99.96,125400,4
Home_,Toonorth,"['chillhop', 'lo-fi beats']",True,0.557,0.298,8,-16.143,0,0.175,0.945,0.521,0.0942,0.349,122.236,137143,1
distance,Nohidea,"['chillhop', 'lo-fi beats']",True,0.563,0.20600000000000002,3,-18.479,0,0.121,0.753,0.8220000000000001,0.0841,0.251,158.148,103291,4
bringmesun,Psalm Trees,"['chillhop', 'lo-fi beats']",True,0.657,0.294,1,-12.695,0,0.0413,0.8640000000000001,0.8859999999999999,0.0822,0.6,81.99,140488,4
ocean floor,mommy,"['chillhop', 'lo-fi beats']",True,0.609,0.307,11,-18.476,0,0.302,0.884,0.927,0.0984,0.674,201.995,68000,3
Roses,Cantsleep,['lo-fi beats'],True,0.8009999999999999,0.446,6,-14.335,0,0.1,0.0025399999999999997,0.0605,0.21899999999999997,0.627,88.045,95540,4
Circles,Afroham,[],False,0.662,0.344,5,-13.254000000000001,0,0.0407,0.68,0.934,0.11900000000000001,0.309,93.00299999999999,188075,4
August - Vacant,The BREED,"['chillhop', 'jazz boom bap', 'lo-fi beats']",True,0.9359999999999999,0.359,0,-14.671,0,0.331,0.0928,0.9359999999999999,0.0773,0.821,139.986,155426,4
Testing Tubes,Praizee,['lo-fi beats'],True,0.82,0.139,8,-10.940999999999999,1,0.36200000000000004,0.637,0.7759999999999999,0.10099999999999999,0.6579999999999999,74.993,148073,4
Blue and Green,Harris Cole,"['chillhop', 'lo-fi beats']",True,0.638,0.0389,1,-17.75,1,0.115,0.897,0.8490000000000001,0.0731,0.48,79.888,174000,4
home for a while,s. lyre,[],False,0.601,0.185,0,-19.246,1,0.0518,0.935,0.86,0.524,0.634,165.981,151807,4
orange crunch,mommy,"['chillhop', 'lo-fi beats']",True,0.722,0.23399999999999999,6,-13.737,1,0.134,0.8009999999999999,0.845,0.0955,0.49200000000000005,63.245,67798,4
sundown,mt. fujitive,"['chillhop', 'lo-fi beats']",True,0.653,0.16699999999999998,5,-19.743,1,0.0396,0.958,0.9309999999999999,0.0986,0.461,75.962,106899,3
Good Morning,Green Assassin Dollar,"['chillhop', 'j-rap']",True,0.7509999999999999,0.425,7,-8.947000000000001,1,0.0466,0.894,0.725,0.0976,0.778,75.128,65000,4
I Have Love for Everyone Besides Myself.,Barnes Blvd.,"['chillhop', 'lo-fi beats']",True,0.35200000000000004,0.23800000000000002,0,-18.408,1,0.1,0.97,0.586,0.0664,0.0376,72.649,161239,3
"speeding, like 4am",frumhere,['lo-fi beats'],True,0.667,0.375,1,-12.445,1,0.0906,0.6679999999999999,0.9,0.121,0.17800000000000002,84.135,104842,4
By The Shore,Sofasound,"['chillhop', 'future bass', 'lo-fi beats']",True,0.8340000000000001,0.256,0,-9.433,0,0.252,0.642,0.0156,0.10400000000000001,0.496,88.944,194164,4
Don't know why,SwuM,"['chillhop', 'lo-fi beats']",True,0.324,0.536,0,-10.509,0,0.0483,0.504,0.895,0.10400000000000001,0.218,81.96799999999999,160529,4
quilted hills,ocha,"['chillhop', 'focus beats', 'lo-fi beats']",True,0.816,0.24100000000000002,6,-7.772,1,0.107,0.866,0.9329999999999999,0.154,0.759,148.22899999999998,146157,4
Quiet Nights,Epektase,[],False,0.7340000000000001,0.14400000000000002,11,-10.34,0,0.0426,0.649,0.769,0.105,0.175,74.972,128000,4
Cherry Tomatoes,Guustavv,"['chill out', 'lo-fi beats']",True,0.768,0.574,2,-7.5729999999999995,1,0.0578,0.8420000000000001,0.9259999999999999,0.115,0.299,74.997,147200,4
